1101162143775.txt	article	7/3/2004	A Special Asparagus Season	Ellie Olmsen
1101162433811.txt	forum	11/10/2004	none	none
1101162452451.txt	obituary	11/10/2004	none	none
1101162452967.txt	article	11/9/2004	Clown classes begin in Alderwood	Mel Sacher
1101162453655.txt	article	11/8/2004	Alderwood's Promise in need of reading volunteers	none
1101162454389.txt	article	11/8/2004	Pioneers end G'view's season	Bob Story
1101162468967.txt	article	11/5/2004	High school brings modern touch to Romeo and Juliet	Ellie Olmsen
1101162469467.txt	article	11/5/2004	Working Stiff	Mel Sacher
1101162469951.txt	article	11/5/2004	Mayor pro-tem suggests regaining control of library	John Panni
1101162470451.txt	article	11/5/2004	Story Time	Bob Story
1101162470951.txt	article	11/5/2004	Grizzlies end season with a loss	Bob Story
1101162488420.txt	article	11/3/2004	Washington voters approve new style of primary election	Ellie Olmsen
1101162488967.txt	article	11/2/2004	Working Stiff	John Panni
1101162490186.txt	article	11/1/2004	Selah blanks the Grizzlies	John Panni
1101162504873.txt	article	10/29/2004	Tragedy strikes	John Panni
1101162505451.txt	brief	10/29/2004	none	none
1101162506170.txt	forum	10/29/2004	none	none
1101162507155.txt	forum	10/27/2004	none	none
1101162522889.txt	editorial	10/27/2004	none	none
1101162523405.txt	obituary	10/27/2004	none	none
1101162524451.txt	article	10/25/2004	Nethercutt's wife stumps for votes in Alderwood	Mel Sacher
1101162539420.txt	brief	10/22/2004	none	none
1101162539889.txt	brief	10/22/2004	none	none
1101162540358.txt	article	10/22/2004	Spring Fling evolving into a 10-day festival	Ellie Olmsen
1101162541092.txt	article	10/21/2004	Plan in place to monitor spread of BSE in United States	John Panni
1101162589891.txt	article	10/9/2004	Russian delegation to visit Brazil and Chile	Jamie Smart
1101162605515.txt	editorial	10/20/2004	none	none
1101162605999.txt	article	10/19/2004	Montana graduate joins Lincoln Ave. Family Medicine	Jamie Smart
1101162606483.txt	article	10/19/2004	School problems focus of legislative dinner	Mel Sacher
1101162607218.txt	article	10/18/2004	Grizzlies maul the Wolves in Homecoming game	John Panni
1101162607702.txt	article	10/18/2004	Mabton grid team tethers Billy Goats	Bob Story
1101162622968.txt	editorial	10/15/2004	none	none
1101162623703.txt	editorial	10/13/2004	none	none
1101162624171.txt	brief	10/12/2004	none	none
1101162640781.txt	article	10/12/2004	Rough night for Grizzly JV	none
1101162641766.txt	brief	10/8/2004	none	none
1101162642891.txt	article	10/8/2004	Monson family will continue operating cattle feed mill	Bob Story
1101162686673.txt	article	10/7/2004	MOOvin' out	Bob Story
1101162687439.txt	forum	10/6/2004	none	none
1101162688110.txt	article	9/13/2004	Teens arrested after posting alleged trespass video on web	Ellie Olmsen
1101162688970.txt	brief	10/4/2004	none	none
1101162691111.txt	brief	10/1/2004	none	none
1101162707205.txt	article	10/1/2004	Lady 'Hounds race past Othello	Ellie Olmsen
1101162707799.txt	article	9/29/2004	REC to hold festive sunset meeting for 10 years of service	Ellie Olmsen
1101162708267.txt	article	9/29/2004	Grizzly grid game against West Valley at home Friday	none
1101162708736.txt	article	9/27/2004	Alderwood High School drop-out rates improving	Jamie Smart
1101162768659.txt	article	9/24/2004	School board dedicates new Alderwood parent center	Ellie Olmsen
1101162769191.txt	article	9/23/2004	Snipes Mountain Restaurant to host Nov. 2 dairy conference	none
1101162769956.txt	article	9/21/2004	Working Stiff	Mel Sacher
1101162770925.txt	article	9/20/2004	Lady 'Hounds beat Ellensburg, fall to Selah	Ellie Olmsen
1101162786926.txt	forum	9/17/2004	none	none
1101162787426.txt	article	9/15/2004	Ellensburg blanks Lady Grizzlies, 3-0	Bob Story
