filename,entitydictionary
1201243446503.txt,{'CDC': 1}
1101243226622.txt,"{'Alderwood Public Library': 1, 'Alderwood': 3, 'Hart': 1}"
1101163793559.txt,"{'United States': 1, 'U.S.': 3, 'U.S. Senate': 1, 'Washington': 1, 'Congress': 5}"
1201243446508.txt,"{'Centers for Disease Control and Prevention o Public Response Hotline': 1, 'CDC': 1}"
1101242565571.txt,{'Alderwood County': 1}
1101163575072.txt,"{'Prosser': 1, 'Alderwood Public Library': 1, 'Alderwood': 5, 'Alderwood City Council': 1}"
1101163179932.txt,"{'Katy': 1, 'Tom Denchel Ford': 1, 'Calif.': 3, 'Washington': 1, 'Prosser': 2, 'Seattle': 1}"
1101162948851.txt,"{'Mel Sacher': 1, 'United States': 1}"
1101163941134.txt,{'Albert Smith': 1}
1101162454389.txt,"{'Grandview High School': 1, 'Grandview': 8}"
1101242809916.txt,"{'City Council': 4, 'John Panni': 1, 'Richland': 1, 'Alderwood City Council': 2, 'Alderwood High School': 1, 'Gary Locke': 1, 'Theresa Hancock': 1, 'Martinez': 4, 'Raul Martinez': 1, 'Cruz': 3, 'Alex de la Cruz': 1, 'Wade Drysdale': 1, 'Alderwood': 10, 'Alderwood Planning Commission': 1, 'Carol Stone': 1, 'Tom Seeger': 1}"
1101242745182.txt,"{'Martinez': 15, 'Lower Valley': 1, 'Richland': 1, 'Gary Locke': 1, 'Theresa Hancock': 2, 'Rex Luthor': 1, 'Alderwood Valley': 1, 'Raul Martinez': 1, 'Alex de la Cruz': 1, 'Wade Drysdale': 1, 'Alderwood': 6, 'Alderwood City Council': 1, 'Monson': 1, 'Carol Stone': 2}"
1101162879397.txt,"{'Yakima': 1, 'Yakima Valley': 1, 'Jamie Smart': 1, 'Alderwood': 2}"
1101163941146.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101163941142.txt,{'Albert Smith': 1}
1101163941164.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101162605999.txt,"{'Washington': 1, 'Seattle': 1, 'Lower Valley': 1, 'Alderwood': 2}"
1101163706824.txt,"{'Prosser': 3, 'Seattle': 1, 'Alderwood': 4, 'Granger': 1}"
1101242407976.txt,"{'Mel Sacher': 1, 'Washington': 1, 'Grandview': 1, 'Alderwood': 4}"
1101243250482.txt,"{'Lower Valley': 1, 'Wapato': 1, 'Zillah': 1, 'Ellie Olmsen': 1, 'Alderwood': 15, 'Alderwood County': 2, 'Alderwood Public Library': 4}"
1101163941124.txt,{'Albert Smith': 1}
1101162948101.txt,"{'Zillah': 3, 'Seattle': 1, 'Yakima Valley': 1}"
1101163520510.txt,"{'Martinez': 2, 'Cruz': 1, 'Alderwood High School': 1, 'Alderwood': 8}"
1101242809166.txt,"{'Alderwood City Council': 6, 'Alderwood Planning Commission': 1, 'Alderwood': 2, 'Rex Luthor': 1}"
1101162539889.txt,{}
1101162541092.txt,"{'United States': 5, 'U.S.': 1, 'John Panni': 1, 'Washington': 1, 'Alderwood': 2}"
1101162965023.txt,"{'Alderwood School District': 1, 'Alderwood': 1}"
1101163941136.txt,{'Albert Smith': 1}
1101242407492.txt,"{'John Torch': 1, 'John Panni': 1, 'Rex Luthor': 1, 'Martinez': 1, 'Alderwood': 7, 'Jennie Angel': 1, 'Alderwood City Council': 1}"
1101242787244.txt,"{'Yakima': 2, 'Seattle': 1, 'Alderwood': 6}"
1101162507155.txt,"{'Bruce Chandler': 1, 'Grandview': 1, 'Yakima County': 1, 'Alderwood High School': 1, 'John Torch': 1, 'Washington': 1, 'Alderwood Inc.': 1, 'Bush': 4, 'Alderwood': 10, 'Seattle': 1, 'Dan Newhouse': 1}"
1101162589891.txt,{}
1101163941116.txt,{'Albert Smith': 1}
1101242722744.txt,"{'Alderwood Valley': 1, 'U.S.': 1}"
1101162902397.txt,"{'Mel Sacher': 1, 'Mabton': 1, 'Lower Valley': 1, 'Yakima County': 1, 'Alderwood Republican Club': 1, 'Yakima': 4, 'Yakima Valley': 1, 'Alderwood': 6, 'Grandview': 2, 'Palacios': 1}"
1101163941122.txt,"{'Albert Smith': 1, 'Alderwood': 1}"
1101242876245.txt,"{'Alderwood City Council': 1, 'Cruz': 2, 'Alex de la Cruz': 1, 'Ellie Olmsen': 1, 'Rex Luthor': 1}"
1101162982195.txt,"{'Alderwood Republican Club': 1, 'U.S.': 2, 'George Nethercutt': 1, 'U.S. Senate': 2, 'Ellie Olmsen': 1, 'Alderwood': 1}"
1101242810619.txt,"{'Mel Sacher': 1, 'Ted Mana': 1, 'Bruce Rinz': 1, 'Alderwood Police Department': 2, 'Alderwood': 1}"
1201243446611.txt,{'Colombia': 8}
