filename,entitydictionary
1201243446503.txt,{'CDC': 1}
1101243226622.txt,"{'Moose': 1, 'Hart': 1, 'Laura Bush': 1, 'Yakima Regional Library System': 2, 'Alderwood': 3, 'San Francisco': 1, 'Alderwood Public Library': 1, 'Alderwood Library': 1}"
1101163793559.txt,"{'Dave Frederickson': 1, 'Farmers Union': 1, 'Coulee City': 1, 'Pasco': 1, 'USDA': 1, 'Congress': 5, 'Wa.': 1, 'House': 1, 'U.S.': 3, 'Washington': 1, 'National Farmers Union': 3, 'Oregon': 1, 'United States': 1, 'U.S. Senate': 1, 'Davis': 1, 'Penn , Schoen & Berland Associates , Inc.': 1, 'Idaho': 1, 'Washington Farmers Union': 1}"
1201243446508.txt,"{'Centers for Disease Control and Prevention o Public Response Hotline': 1, 'CDC': 1}"
1101242565571.txt,"{'Beck': 1, 'Alderwood County Elections Department': 1, 'Tina Beck': 1, 'Alderwood County': 1}"
1101163575072.txt,"{'L. Paxon': 1, 'Cloe Garrison': 1, 'Partida': 5, 'Robin Seifert': 1, 'Harrison Middle School': 3, 'Yakima County Regional Library System': 1, 'Outlook Elementary School': 1, 'Kamiakin Elementary School': 1, 'Oscar Hernandez': 1, 'Alderwood': 5, 'Prosser': 1, 'Harrison': 1, 'Alderwood Security': 1, 'Alderwood Public Library': 1, 'Alderwood City Council': 1}"
1101163179932.txt,"{'First Presbyterian Church': 1, 'Prosser Rotary Club': 1, 'God': 1, 'Rosecrans Ave.': 1, 'Mark': 1, 'Elizabeth Horn': 1, 'Trisha Lyons': 1, 'El Centro': 1, 'Arkansas': 1, 'John': 1, 'Texas': 1, 'Calif.': 3, 'Pancreatic Action Network': 1, 'Oregon': 1, 'El Segundo': 1, 'Washington State Patrol': 1, 'California': 1, 'Carl': 1, 'Vicki OMeara Hunsinger': 2, 'Earl': 12, 'Hermosa Beach': 1, 'Jessa Lynn of Katy': 1, 'Will Hunsinger': 1, 'Jackie': 1, 'Porsser': 1, 'Frank Maycock': 1, 'Judith Williams': 1, 'Shoreline College': 1, 'Hood River Ford': 1, 'Prosser': 2, 'Katy': 1, 'Tom Denchel Ford': 1, 'Seattle': 1, 'Clinton': 1, 'Brenda': 1, 'Heber Springs': 1, 'Washington': 1, 'Rotary International Youth Exchange Program': 1, 'Vernell Gasaway': 1, 'Edward': 1, 'Jasper': 2, 'Eulas Gasaway': 1, 'EARL WRIGHT GASAWAY Earl Wright Gasaway': 1, 'Jessa': 1, 'U.S. Navy': 1}"
1101162948851.txt,"{'Mel Sacher': 1, 'Dick Hoyt': 1, 'Hoyt': 5, 'Boston University': 1, 'Browning': 1, 'Dick': 3, 'Colorado Buffaloes': 1, 'McCarthy': 2, 'United States': 1, 'Alderwood Kiwanis Club': 1, 'Boston': 1, 'Rick Hoyt': 1, 'Dennis Browning': 1, 'Rick': 7}"
1101163941134.txt,"{'Albert Smith': 1, 'William Faulkner': 1}"
1101162454389.txt,"{'Frank Medina': 1, 'Lamb': 2, 'Hansen': 2, 'Grandview': 8, 'Kevin Concienne': 1, 'Medina': 1, 'James Vela': 2, 'Artz': 4, 'OMAK': 1, 'Vela': 2, 'Pioneer': 1, 'Grandview High School': 1, 'Silas Hansen': 1, 'Brenden Kaermingk': 1, 'Pioneers': 1, 'Dustin Lamb': 1, 'East Valley': 1, 'Brandon Artz': 1, 'Cody Campbell': 1}"
